date,symbol,open,high,low,PX,DAX,WIG,ATX,UKX,LUXX,AEX,CAC,SMI,MAIN,SX5E,MSCI,EURCZK,EURPLN
2015-01-05,PSECZ:PX,962.15002,964.03003,941.64001,942.59998,9473.16,50516.711,2128.6799,6417.1602,1483.302,410.94,40.845001,8938.8496,63.09,3023.1399,47.24,27.6616,4.3183
2015-01-07,PSECZ:PX,939.79999,940.23999,932.75,933.32001,9518.18,51350.422,2138.3999,6419.8301,1494.7939,411.20999,40.814999,8900.8301,61.380001,3026.79,49.72,27.8818,4.28314
2015-01-08,PSECZ:PX,933.44,948.40997,933.41998,946.64001,9837.61,52391.0,2169.9199,6569.96,1556.146,423.07001,42.310001,9139.6904,61.299999,3135.0801,51.22,28.13502,4.26698
2015-01-12,PSECZ:PX,946.12,951.17999,943.78003,946.46002,9781.9,51910.34,2145.45,6501.4199,1522.778,418.41,41.935001,9152.9697,62.25,3084.1799,51.94,28.10277,4.28367
2015-01-13,PSECZ:PX,946.53998,963.21002,941.70001,963.21002,9941.0,52443.102,2156.4199,6542.2002,1525.1541,423.79001,42.564999,9285.6299,61.830002,3133.8601,54.05,28.03966,4.25646
2015-01-14,PSECZ:PX,961.83002,968.52002,950.73999,958.79999,9817.08,51910.301,2122.0801,6388.46,1493.348,418.32999,41.93,9198.2002,63.25,3089.6699,53.7,27.92933,4.31411
2015-01-15,PSECZ:PX,958.79999,963.0,936.51001,945.52002,10032.61,50616.629,2141.0,6498.7798,1493.821,425.32001,42.845001,8400.6104,62.389999,3157.3601,52.9,27.87381,4.30994
2015-01-20,PSECZ:PX,950.92999,952.0,946.46997,948.90002,10257.13,50058.559,2170.24,6620.1001,1523.161,437.92001,44.095001,8178.8999,60.169998,3244.9199,53.7,27.95853,4.30064
2015-01-21,PSECZ:PX,948.90002,954.40997,947.48999,952.53998,10299.23,50918.41,2191.9199,6728.04,1546.639,441.09,44.459999,8008.5498,58.099998,3269.73,53.57,27.8718,4.25494
2015-01-22,PSECZ:PX,951.82001,967.5,951.03003,961.03998,10435.62,51484.809,2230.0901,6796.6299,1557.223,447.76999,45.195,7999.48,59.099998,3322.6499,54.37,27.71756,4.20428
2015-01-26,PSECZ:PX,961.90002,973.26001,958.34003,973.26001,10798.33,51516.621,2252.1399,6852.3999,1574.0081,459.14001,46.375,8296.4502,56.709999,3414.28,54.55,27.90898,4.2399
2015-01-27,PSECZ:PX,973.35999,974.70001,967.85999,970.83002,10628.58,51578.852,2223.73,6811.6099,1569.2469,454.45999,45.880001,8402.8203,56.27,3372.5801,54.28,27.74617,4.24634
2015-01-28,PSECZ:PX,971.53998,974.69,953.90997,956.5,10710.97,51706.191,2194.1399,6825.9399,1593.6021,452.29999,45.740002,8311.5498,54.200001,3358.96,53.89,27.75836,4.21342
2015-01-29,PSECZ:PX,956.22998,959.53003,944.66998,954.42999,10737.87,52040.238,2187.1299,6810.6001,1566.353,452.47,45.974998,8435.3398,54.810001,3371.8301,54.5,27.75246,4.18408
2015-02-02,PSECZ:PX,955.90002,959.53003,952.0,958.03998,10828.01,51923.512,2217.8101,6782.5498,1597.036,450.76001,45.955002,8429.2002,57.470001,3370.1101,54.36,27.7584,4.1708
2015-02-03,PSECZ:PX,958.06,975.70001,956.38,975.70001,10890.95,52030.359,2263.0701,6871.7998,1626.811,455.82001,46.419998,8452.1299,56.599998,3414.1799,54.83,27.74049,4.17084
2015-02-04,PSECZ:PX,975.72998,982.35999,975.04999,980.23999,10911.32,52049.852,2252.72,6860.02,1621.981,454.88,46.580002,8608.2402,56.82,3415.53,55.13,27.73083,4.16946
2015-02-05,PSECZ:PX,978.87,978.87,969.84998,971.23999,10905.41,52107.262,2253.3701,6865.9302,1608.964,455.29999,46.740002,8544.3203,56.549999,3408.96,55.5,27.69943,4.15626
2015-02-09,PSECZ:PX,979.06,982.57001,970.66998,980.71997,10663.51,52137.578,2287.74,6837.1499,1614.548,450.95999,46.220001,8632.1396,55.040001,3347.75,56.91,27.66622,4.20128
2015-02-10,PSECZ:PX,980.20001,992.46997,979.90002,990.45001,10753.83,52140.43,2327.22,6829.1201,1612.452,453.79999,46.645,8620.4199,55.25,3383.1299,56.98,27.63006,4.21048
2015-02-11,PSECZ:PX,991.06,992.17999,985.15002,987.53003,10752.11,51893.789,2321.24,6818.1699,1605.042,458.26999,46.455002,8577.7598,54.52,3374.1399,56.58,27.64779,4.1665
2015-02-12,PSECZ:PX,987.59003,1012.08,987.59003,1010.21,10919.65,52139.809,2375.8501,6828.1099,1641.354,460.42999,46.875,8611.0303,54.549999,3417.6101,57.2,27.60606,4.18462
2015-02-17,PSECZ:PX,1018.4,1018.62,1007.55,1007.75,10895.62,52641.262,2402.79,6898.1299,1678.4871,463.42001,47.154999,8747.8301,54.330002,3438.4399,57.35,27.24836,4.18394
2015-02-18,PSECZ:PX,1007.75,1018.93,1006.88,1006.88,10961.0,52476.641,2427.76,6898.0801,1689.967,467.32001,47.619999,8800.71,54.529999,3465.8,57.32,27.36435,4.17128
2015-02-19,PSECZ:PX,1006.88,1007.58,1003.14,1007.19,11001.94,52572.949,2426.05,6888.8999,1693.443,469.79001,47.950001,8900.1797,54.27,3488.0801,57.8,27.52438,4.16742
2015-02-24,PSECZ:PX,1019.52,1027.3,1016.81,1025.65,11205.74,52949.641,2472.0701,6949.6299,1670.559,479.94,48.485001,8984.6104,56.049999,3547.1001,57.65,27.43278,4.15894
2015-02-25,PSECZ:PX,1025.49,1035.04,1024.53,1028.5699,11210.27,52871.461,2485.3101,6935.3799,1702.8719,478.53,48.450001,8977.6201,56.459999,3541.78,57.23,27.54481,4.15032
2015-02-26,PSECZ:PX,1029.42,1035.3101,1026.5601,1028.29,11327.19,53042.602,2477.5801,6949.73,1698.484,482.47,48.735001,9049.4902,56.869999,3574.9399,56.79,27.512,4.14765
2015-03-02,PSECZ:PX,1022.73,1030.64,1020.46,1024.86,11410.36,53343.922,2480.6001,6940.6401,1691.554,485.84,48.84,9055.6904,57.110001,3591.0901,57.57,27.4705,4.1664
2015-03-03,PSECZ:PX,1024.88,1028.9,1017.32,1017.32,11280.36,52742.172,2476.3201,6889.1299,1693.719,480.06,48.334999,8954.6797,56.619999,3549.1101,57.32,27.4829,4.15126
2015-03-04,PSECZ:PX,1017.22,1019.83,1012.35,1014.24,11390.38,53161.922,2465.53,6919.2402,1678.15,483.57001,48.779999,8992.5,57.439999,3583.4399,56.78,27.28569,4.1435
2015-03-05,PSECZ:PX,1014.28,1029.75,1010.4,1029.39,11504.01,53546.398,2506.8201,6961.1401,1698.061,488.95999,49.224998,9034.5996,57.419998,3618.21,55.4,27.33304,4.1309
2015-03-09,PSECZ:PX,1037.6,1037.6,1023.59,1024.21,11582.11,53415.93,2537.52,6876.4702,1747.449,488.20999,48.994999,9046.8799,58.66,3610.28,55.66,27.28456,4.15999
2015-03-10,PSECZ:PX,1024.54,1025.9301,1011.7,1011.7,11500.38,52838.219,2480.54,6702.8398,1736.426,483.10001,48.5,9023.71,58.93,3567.25,54.72,27.26382,4.12236
2015-03-11,PSECZ:PX,1011.9,1021.0,1011.9,1016.14,11805.99,53041.441,2505.96,6721.5098,1747.202,491.92999,49.599998,9106.2305,59.060001,3649.54,55.83,27.30825,4.14188
2015-03-12,PSECZ:PX,1016.14,1025.27,1016.14,1023.49,11799.39,53136.129,2506.75,6761.0698,1743.856,491.64001,49.505001,9119.8096,58.560001,3641.3201,57.18,27.29912,4.149
2015-03-16,PSECZ:PX,1035.95,1039.7,1033.35,1036.22,12167.72,52874.238,2523.53,6804.0801,1752.963,498.03,50.189999,9237.0801,58.889999,3706.75,57.9,27.23746,4.13713
2015-03-17,PSECZ:PX,1036.3199,1036.79,1027.74,1032.4,11980.85,53197.781,2500.51,6837.6099,1739.592,494.39999,49.950001,9198.5098,58.639999,3672.1599,58.41,27.33208,4.13466
2015-03-18,PSECZ:PX,1032.3,1036.27,1026.52,1030.86,11922.77,53364.629,2481.8101,6945.2002,1741.448,496.63,49.959999,9256.2402,58.540001,3668.52,58.7,27.42806,4.13146
2015-03-19,PSECZ:PX,1030.99,1042.55,1030.96,1042.55,11899.4,54148.48,2510.1899,6962.3198,1736.646,496.01001,50.009998,9328.4805,58.279999,3670.73,58.62,27.45151,4.13306
2015-03-23,PSECZ:PX,1045.03,1047.0699,1038.53,1045.24,11895.84,54564.539,2532.4099,7037.6699,1742.089,497.54999,50.264999,9366.2002,59.59,3699.04,60.18,27.40594,4.09199
2015-03-24,PSECZ:PX,1044.97,1050.89,1044.3101,1048.75,12005.69,54437.391,2537.75,7019.6802,1764.892,498.66,50.630001,9292.6797,59.93,3731.3501,59.78,27.36677,4.08654
2015-03-26,PSECZ:PX,1043.24,1043.27,1027.33,1031.74,11843.68,53649.898,2481.6299,6895.3301,1730.255,486.37,49.759998,9082.5098,59.07,3669.79,59.82,27.48098,4.09926
2015-03-30,PSECZ:PX,1023.5,1033.63,1022.46,1031.25,12086.01,54106.371,2516.1299,6891.4302,1738.571,494.69,50.560001,9202.1797,59.209999,3727.8,60.92,27.55793,4.07436
2015-03-31,PSECZ:PX,1031.21,1039.0,1029.41,1033.66,11966.17,54091.32,2509.8201,6773.04,1715.042,489.41,50.029999,9128.9805,59.450001,3697.3799,61.31,27.58635,4.05748
2015-04-02,PSECZ:PX,1043.98,1049.24,1042.1899,1049.24,11967.39,54179.039,2545.6899,6833.46,1722.922,492.38,50.435001,9130.5996,58.869999,3715.27,61.51,27.54418,4.06146
2015-04-07,PSECZ:PX,1049.24,1052.3101,1045.26,1050.98,12123.52,54490.949,2581.9399,6961.77,1754.705,503.03,51.16,9260.75,58.84,3768.72,61.28,27.39753,4.00856
2015-04-08,PSECZ:PX,1051.76,1051.76,1043.14,1047.61,12035.86,54647.102,2590.4199,6937.4102,1746.569,497.16,51.080002,9247.8203,58.75,3742.6299,61.83,27.41834,4.02528
2015-04-09,PSECZ:PX,1047.64,1053.35,1046.61,1053.35,12166.44,55063.852,2614.5801,7015.3599,1761.0179,501.97,51.759998,9393.3799,59.16,3781.79,60.75,27.33916,4.02219
